model,pair,obs,mean,ci_lo,ci_hi
whisper_L2,e-ɛ,0.0182,0.0189,0.0164,0.0215
whisper_L2,i-y,0.0341,0.0346,0.0322,0.0371
whisper_L2,a-ɑ,0.0179,0.0188,0.014,0.0242
whisper_L5,e-ɛ,0.2809,0.2822,0.2573,0.3059
whisper_L5,i-y,0.3051,0.307,0.2944,0.3208
whisper_L5,a-ɑ,0.1563,0.1599,0.122,0.1994
xlsr_L3,e-ɛ,0.0632,0.065,0.0584,0.0718
xlsr_L3,i-y,0.1586,0.1606,0.1508,0.1723
xlsr_L3,a-ɑ,0.0487,0.0509,0.0362,0.066
xlsr_L12,e-ɛ,0.0857,0.0877,0.0763,0.0989
xlsr_L12,i-y,0.1448,0.1463,0.1376,0.156
xlsr_L12,a-ɑ,0.093,0.0956,0.0641,0.1261
xlsr_L21,e-ɛ,0.0,0.0,0.0,0.0
xlsr_L21,i-y,0.0,0.0,0.0,0.0001
xlsr_L21,a-ɑ,0.0,0.0,0.0,0.0
