model,phoneme,obs_dist,p_raw,p_adj_BH,sig_BH
whisper_L2,a,0.0079,0.0002,0.0002,True
whisper_L2,e,0.0111,0.0002,0.0002,True
whisper_L2,i,0.006,0.0002,0.0002,True
whisper_L2,o,0.0118,0.0002,0.0002,True
whisper_L2,u,0.0072,0.0002,0.0002,True
whisper_L2,y,0.0071,0.0002,0.0002,True
whisper_L2,ø,0.0152,0.0002,0.0002,True
whisper_L2,ɑ,0.0109,0.0002,0.0002,True
whisper_L2,ə,0.0115,0.0004,0.0004,True
whisper_L2,ɛ,0.0091,0.0002,0.0002,True
whisper_L5,a,0.0441,0.0002,0.0002,True
whisper_L5,e,0.0447,0.0002,0.0002,True
whisper_L5,i,0.017,0.0002,0.0002,True
whisper_L5,o,0.0427,0.0002,0.0002,True
whisper_L5,u,0.0396,0.0002,0.0002,True
whisper_L5,y,0.0422,0.0002,0.0002,True
whisper_L5,ø,0.0516,0.0002,0.0002,True
whisper_L5,ɑ,0.0347,0.0002,0.0002,True
whisper_L5,ə,0.0367,0.031,0.0323,True
whisper_L5,ɛ,0.05,0.0002,0.0002,True
xlsr_L3,a,0.0303,0.0002,0.0002,True
xlsr_L3,e,0.0439,0.0002,0.0002,True
xlsr_L3,i,0.04,0.0002,0.0002,True
xlsr_L3,o,0.0364,0.0002,0.0002,True
xlsr_L3,u,0.0286,0.0002,0.0002,True
xlsr_L3,y,0.0382,0.0002,0.0002,True
xlsr_L3,ø,0.0427,0.0002,0.0002,True
xlsr_L3,ɑ,0.0328,0.0002,0.0002,True
xlsr_L3,ə,0.0533,0.0002,0.0002,True
xlsr_L3,ɛ,0.0475,0.0002,0.0002,True
xlsr_L12,a,0.0224,0.0002,0.0002,True
xlsr_L12,e,0.0264,0.0002,0.0002,True
xlsr_L12,i,0.0222,0.0002,0.0002,True
xlsr_L12,o,0.0264,0.0002,0.0002,True
xlsr_L12,u,0.0139,0.0002,0.0002,True
xlsr_L12,y,0.0232,0.0002,0.0002,True
xlsr_L12,ø,0.0375,0.0002,0.0002,True
xlsr_L12,ɑ,0.0276,0.0002,0.0002,True
xlsr_L12,ə,0.0367,0.0002,0.0002,True
xlsr_L12,ɛ,0.0307,0.0002,0.0002,True
xlsr_L21,a,0.0,0.0002,0.0002,True
xlsr_L21,e,0.0002,0.0002,0.0002,True
xlsr_L21,i,0.0001,0.0002,0.0002,True
xlsr_L21,o,0.0001,0.0002,0.0002,True
xlsr_L21,u,0.0,0.1834,0.1834,False
xlsr_L21,y,0.0,0.051,0.052,False
xlsr_L21,ø,0.0001,0.0002,0.0002,True
xlsr_L21,ɑ,0.0001,0.0002,0.0002,True
xlsr_L21,ə,0.0,0.0048,0.0051,True
xlsr_L21,ɛ,0.0,0.0002,0.0002,True
