model,phoneme,obs_dist,ci_lo,ci_hi,rope_delta
whisper_L2,a,0.0074,0.0052,0.0134,0.0697
whisper_L2,e,0.0106,0.0087,0.0191,0.0697
whisper_L2,i,0.006,0.0045,0.0122,0.0697
whisper_L2,o,0.0118,0.01,0.0241,0.0697
whisper_L2,u,0.0072,0.0061,0.0126,0.0697
whisper_L2,y,0.0072,0.0063,0.0125,0.0697
whisper_L2,ø,0.0153,0.0113,0.0292,0.0697
whisper_L2,ɑ,0.0138,0.0103,0.0253,0.0697
whisper_L2,ə,0.0182,0.0165,0.0543,0.0697
whisper_L2,ɛ,0.0093,0.0077,0.0164,0.0697
whisper_L5,a,0.0396,0.019,0.0756,0.3974
whisper_L5,e,0.0406,0.0233,0.0874,0.3974
whisper_L5,i,0.0169,0.0103,0.0394,0.3974
whisper_L5,o,0.0427,0.0214,0.1043,0.3974
whisper_L5,u,0.0416,0.0277,0.0732,0.3974
whisper_L5,y,0.0387,0.026,0.0765,0.3974
whisper_L5,ø,0.0518,0.027,0.1164,0.3974
whisper_L5,ɑ,0.0493,0.0238,0.1137,0.3974
whisper_L5,ə,0.0623,0.0461,0.2197,0.3974
whisper_L5,ɛ,0.05,0.0341,0.0899,0.3974
xlsr_L3,a,0.0286,0.0212,0.0564,0.246
xlsr_L3,e,0.0423,0.0272,0.082,0.246
xlsr_L3,i,0.0399,0.0248,0.0762,0.246
xlsr_L3,o,0.0364,0.0301,0.0721,0.246
xlsr_L3,u,0.0283,0.019,0.0572,0.246
xlsr_L3,y,0.0401,0.0271,0.0769,0.246
xlsr_L3,ø,0.0433,0.0308,0.0861,0.246
xlsr_L3,ɑ,0.0549,0.0337,0.1139,0.246
xlsr_L3,ə,0.08,0.0702,0.198,0.246
xlsr_L3,ɛ,0.0495,0.034,0.0887,0.246
xlsr_L12,a,0.0206,0.0161,0.0394,0.2429
xlsr_L12,e,0.0255,0.0196,0.051,0.2429
xlsr_L12,i,0.0221,0.0149,0.043,0.2429
xlsr_L12,o,0.0264,0.0229,0.0556,0.2429
xlsr_L12,u,0.014,0.0105,0.0286,0.2429
xlsr_L12,y,0.0247,0.0184,0.0494,0.2429
xlsr_L12,ø,0.038,0.0287,0.0722,0.2429
xlsr_L12,ɑ,0.0525,0.0323,0.1142,0.2429
xlsr_L12,ə,0.0634,0.0518,0.1687,0.2429
xlsr_L12,ɛ,0.0317,0.0241,0.056,0.2429
xlsr_L21,a,0.0,0.0,0.0001,0.0001
xlsr_L21,e,0.0002,0.0001,0.0003,0.0001
xlsr_L21,i,0.0001,0.0,0.0001,0.0001
xlsr_L21,o,0.0001,0.0,0.0002,0.0001
xlsr_L21,u,0.0,0.0,0.0,0.0001
xlsr_L21,y,0.0,0.0,0.0,0.0001
xlsr_L21,ø,0.0001,0.0,0.0002,0.0001
xlsr_L21,ɑ,0.0001,0.0,0.0003,0.0001
xlsr_L21,ə,0.0,0.0,0.0001,0.0001
xlsr_L21,ɛ,0.0,0.0,0.0001,0.0001
