representation,phoneme_set,ground_truth,n_clusters,ARI
acoustic,vowels,front_back,2,0.597
acoustic,vowels,height,3,0.2655
whisper_L2,vowels,front_back,2,0.2941
whisper_L2,vowels,height,3,0.0668
whisper_L5,vowels,front_back,2,0.2941
whisper_L5,vowels,height,3,0.2829
xlsr_L3,vowels,front_back,2,0.597
xlsr_L3,vowels,height,3,0.2655
xlsr_L12,vowels,front_back,2,0.2941
xlsr_L12,vowels,height,3,0.2829
xlsr_L21,vowels,front_back,2,-0.0588
xlsr_L21,vowels,height,3,0.1346
acoustic,vowels+consonants,CV_boundary,2,0.4643
whisper_L2,vowels+consonants,CV_boundary,2,0.7996
whisper_L5,vowels+consonants,CV_boundary,2,0.2123
xlsr_L3,vowels+consonants,CV_boundary,2,0.1307
xlsr_L12,vowels+consonants,CV_boundary,2,0.62
xlsr_L21,vowels+consonants,CV_boundary,2,0.0649
